gmina id,gmina name,latitude,longitude,avg income,% PiS Votes,registered voters,ballots counted,powiat,wojewodztwo
1425103,Skaryszew,51.30130945,21.24021004,466,53.81201458,11389,6309,radomski,mazowieckie
223012,Czernica,51.07601896,17.26235391,1392,25.089982,11374,6668,wroc?awski,dolno?l?skie
407033,Gniewkowo,52.87183117,18.42327985,496,32.66391022,11343,5079,inowroc?awski,kujawsko-pomorskie
3010123,?lesin,52.36707017,18.32648306,644,40.89083607,11334,5478,koni?ski,wielkopolskie
1408032,Niepor?t,52.41297928,21.04659214,1773,30.93344496,11296,7167,legionowski,mazowieckie
2604062,G¢rno,50.8655885,20.80758083,483,51.46405028,11293,6523,kielecki,?wi?tokrzyskie
1803072,?yrak¢w,50.11297217,21.38863139,635,56.88873972,11292,5959,d?bicki,podkarpackie
1216082,Skrzysz¢w,49.98160419,21.10301871,490,59.2750533,11291,5159,tarnowski,ma?opolskie
601032,Bia?a Podlaska,52.04090028,23.09148856,504,36.20006603,11281,6058,bialski,lubelskie
201022,Boles?awiec,51.29886127,15.58038223,794,27.16728917,11271,5087,boles?awiecki,dolno?l?skie
2404052,K?omnice,50.89410126,19.40203278,606,40.23742027,11269,5644,cz?stochowski,?l?skie
1807072,Miejsce Piastowe,49.63125288,21.78483074,522,53.86819484,11238,5933,kro?nie?ski,podkarpackie
1607063,Otmuch¢w,50.44669327,17.18735478,510,27.43018735,11220,5658,nyski,opolskie
3023011,S?upca,52.295855,17.86923696,879,30.2234351,11194,5863,s?upecki,wielkopolskie
1608043,Praszka,51.07746999,18.49279037,773,38.1025379,11174,5871,oleski,opolskie
2607032,Bodzech¢w,50.93674327,21.40371468,621,33.10907238,11161,4905,ostrowiecki,?wi?tokrzyskie
2203011,Cz?uch¢w,53.6606463,17.35306722,777,24.23214286,11152,5600,cz?uchowski,pomorskie
1210062,Korzenna,49.69481956,20.83032151,311,59.48887057,11142,6065,nowos?decki,ma?opolskie
1425052,Jedli?sk,51.51739881,21.11516489,581,52.11290586,11129,6129,radomski,mazowieckie
1811083,Radomy?l Wielki,50.19453774,21.2725031,437,60.69109948,11104,4775,mielecki,podkarpackie
3003093,Trzemeszno,52.5790181,17.8345307,565,28.77303018,11101,5102,gnie?nie?ski,wielkopolskie
415011,Che?m?a,53.1876278,18.60506443,521,33.21435281,11071,5323,toru?ski,kujawsko-pomorskie
3019083,Wyrzysk,53.14871777,17.28672073,452,31.22654553,11045,5063,pilski,wielkopolskie
619011,W?odawa,51.54253665,23.53338453,642,34.25204334,11019,5261,w?odawski,lubelskie
3029012,Przem?t,52.00949385,16.25858985,443,25.51448171,11008,5248,wolszty?ski,wielkopolskie
2211052,Kosakowo,54.59878869,18.47009211,1154,22.55049744,10981,6634,pucki,pomorskie
2415011,Psz¢w,50.04374147,18.39632521,862,47.79641186,10975,5128,wodzis?awski,?l?skie
3209073,Sian¢w,54.23275544,16.36301581,591,21.95952715,10970,4991,koszali?ski,zachodniopomorskie
3218023,?obez,53.65400294,15.62204544,530,36.6320505,10942,4911,?obeski,zachodniopomorskie
1206123,S?omniki,50.25143936,20.09438902,642,49.35911362,10934,4603,krakowski,ma?opolskie
2213093,Skarszewy,54.07042194,18.41445545,548,33.22586423,10920,5583,starogardzki,pomorskie
609082,Konopnica,51.20775648,22.42208162,1077,36.75065161,10918,5755,lubelski,lubelskie
3213011,Dar?owo,54.42564657,16.4159477,701,22.33791749,10914,5090,s?awie?ski,zachodniopomorskie
609072,Jastk¢w,51.30000036,22.39515496,921,52.33949946,10865,5514,lubelski,lubelskie
3206033,Chojna,52.97539652,14.44240072,467,36.00077131,10855,5186,gryfi?ski,zachodniopomorskie
2417042,Jele?nia,49.61313501,19.34627385,584,50.13240649,10847,6042,?ywiecki,?l?skie
2202023,Brusy,53.89986185,17.69595746,409,42.78276481,10838,5570,chojnicki,pomorskie
2415052,God¢w,49.9373247,18.48150823,991,38.05213613,10827,5524,wodzis?awski,?l?skie
1216133,Wojnicz,49.94765962,20.80574057,465,63.26236016,10822,5542,tarnowski,ma?opolskie
1807012,Chork¢wka,49.63273567,21.65512894,462,54.00037829,10802,5287,kro?nie?ski,podkarpackie
609013,Be??yce,51.1649507,22.24997395,533,50.03767898,10796,5308,lubelski,lubelskie
